,Group,Actinomycetaceae,Aerococcus,Aeromonas,Akkermansia,Alcaligenes faecalis et rel.,Allistipes et rel.,Anaerobiospirillum,Anaerofustis,Anaerostipes caccae et rel.,Anaerotruncus colihominis et rel.,Anaerovorax odorimutans et rel.,Aneurinibacillus,Aquabacterium,Asteroleplasma et rel.,Atopobium,Bacillus,Bacteroides fragilis et rel.,Bacteroides intestinalis et rel.,Bacteroides ovatus et rel.,Bacteroides plebeius et rel.,Bacteroides splachnicus et rel.,Bacteroides stercoris et rel.,Bacteroides uniformis et rel.,Bacteroides vulgatus et rel.,Bifidobacterium,Bilophila et rel.,Brachyspira,Bryantella formatexigens et rel.,Bulleidia moorei et rel.,Burkholderia,Butyrivibrio crossotus et rel.,Campylobacter,Catenibacterium mitsuokai et rel.,Clostridia,Clostridium cellulosi et rel.,Clostridium colinum et rel.,Clostridium difficile et rel.,Clostridium felsineum et rel.,Clostridium leptum et rel.,Clostridium nexile et rel.,Clostridium orbiscindens et rel.,Clostridium ramosum et rel.,Clostridium sphenoides et rel.,Clostridium stercorarium et rel.,Clostridium symbiosum et rel.,Clostridium thermocellum et rel.,Collinsella,Coprobacillus catenaformis et rel.,Coprococcus eutactus et rel.,Corynebacterium,Desulfovibrio et rel.,Dialister,Dorea formicigenerans et rel.,Eggerthella lenta et rel.,Enterobacter aerogenes et rel.,Enterococcus,Escherichia coli et rel.,Eubacterium biforme et rel.,Eubacterium cylindroides et rel.,Eubacterium hallii et rel.,Eubacterium limosum et rel.,Eubacterium rectale et rel.,Eubacterium siraeum et rel.,Eubacterium ventriosum et rel.,Faecalibacterium prausnitzii et rel.,Fusobacteria,Gemella,Granulicatella,Haemophilus,Helicobacter,Klebisiella pneumoniae et rel.,Lachnobacillus bovis et rel.,Lachnospira pectinoschiza et rel.,Lactobacillus catenaformis et rel.,Lactobacillus gasseri et rel.,Lactobacillus plantarum et rel.,Lactobacillus salivarius et rel.,Lactococcus,Leminorella,Megamonas hypermegale et rel.,Megasphaera elsdenii et rel.,Methylobacterium,Micrococcaceae,Mitsuokella multiacida et rel.,Moraxellaceae,Novosphingobium,Oceanospirillum,Oscillospira guillermondii et rel.,Outgrouping clostridium cluster XIVa,Oxalobacter formigenes et rel.,Papillibacter cinnamivorans et rel.,Parabacteroides distasonis et rel.,Peptococcus niger et rel.,Peptostreptococcus anaerobius et rel.,Peptostreptococcus micros et rel.,Phascolarctobacterium faecium et rel.,Prevotella melaninogenica et rel.,Prevotella oralis et rel.,Prevotella ruminicola et rel.,Prevotella tannerae et rel.,Propionibacterium,Proteus et rel.,Pseudomonas,Roseburia intestinalis et rel.,Ruminococcus bromii et rel.,Ruminococcus callidus et rel.,Ruminococcus gnavus et rel.,Ruminococcus lactaris et rel.,Ruminococcus obeum et rel.,Serratia,Sporobacter termitidis et rel.,Staphylococcus,Streptococcus bovis et rel.,Streptococcus intermedius et rel.,Streptococcus mitis et rel.,Subdoligranulum variable at rel.,Sutterella wadsworthia et rel.,Tannerella et rel.,Uncultured Bacteroidetes,Uncultured Chroococcales,Uncultured Clostridiales I,Uncultured Clostridiales II,Uncultured Mollicutes,Uncultured Selenomonadaceae,Veillonella,Vibrio,Weissella et rel.,Wissella et rel.,Xanthomonadaceae,Yersinia et rel.
Sample-37,C,0.002717292,0.009895374,0.008019557,0.027375537,0.005192361,1.861413722,0.006524069,0.01776795,0.239059197,0.232619857,0.092103649,0.033336254,0.009504687,0.006896592,0.016674685,0.02466948,0.489069192,0.958439618,0.80408187,0.607591591,1.14100787,0.699147427,0.242476367,0.26345291,0.681739473,0.012238299,0.010544399,1.144382386,0.076573918,0.020739352,0.818021985,0.023657997,0.131404784,0.203475841,2.152615687,0.81399887,0.299494871,0.010110008,0.378724602,2.301786112,0.630099467,0.024225393,1.809251635,0.058765973,2.660361929,0.007492253,0.810682903,0.041876195,0.872392264,0.009586404,0.024203001,0.474433357,3.55675598,0.03751247,0.038975401,0.038024177,0.139125125,0.415403162,0.021341535,0.540028097,0.034472228,4.936730885,0.053263628,0.916865329,21.28463926,0.02104557,0.009137244,0.008388153,0.015993987,0.016020679,0.067049063,1.046480325,3.913021698,0.002698778,0.522823077,0.165535248,0.801746184,0.016933594,0.004991507,0.025512528,0.995610295,0.00254365,0.009418116,0.653821927,0.014225263,0.004714176,0.024477133,2.030457342,1.339295775,0.066442854,0.407395029,1.54123674,0.130514275,0.008220141,0.027711805,0.059123161,7.852187453,1.028018408,1.25759596,5.0357178,0.01540967,0.01805299,0.016636604,2.218827836,0.317675487,0.418003093,0.799428132,0.544694433,1.911936218,0.00681538,0.548397015,0.00885124,1.336758836,0.558423899,1.386714775,2.023666139,0.205357286,1.191270952,0.058609196,0.005854255,0.214702828,0.226086524,0.127068625,0.000829615,0.056038038,0.029254173,0.239235236,0.005793474,0.033091886,0.035357481
Sample-38,C,0.001563531,0.00367951,0.004479713,0.018857187,0.003009121,5.582155531,0.00308493,0.009862496,0.254949116,0.235908776,0.046691154,0.02909552,0.012115681,0.00404663,0.008941355,0.010433416,0.692523045,0.857635248,0.974258944,1.332489901,3.591369263,1.090815968,0.308919948,0.367969366,0.228029626,0.007377909,0.009332694,1.149660717,0.054015145,0.020837051,1.206792584,0.013248266,0.119808223,2.635404338,1.366420484,0.627004961,0.482743205,0.079127322,0.280051446,2.933532336,0.589767878,0.012498096,1.503043526,0.040695162,3.283190565,0.004360227,0.307615634,0.027144617,1.260995448,0.005401605,0.014043037,0.184014377,4.067604353,0.0245366,0.014655726,0.015052775,0.020615844,0.26748995,0.01179672,0.498110487,0.017700875,4.325738984,0.064606321,0.977430067,11.72753369,0.012066541,0.004923157,0.002765139,0.002235733,0.009121371,0.010492577,1.505557596,3.686639396,0.001829388,0.17145348,0.057198989,0.126246218,0.009130861,0.002160075,0.006901421,0.494016078,0.00179209,0.003345889,0.981312003,0.005597354,0.002939416,0.013690211,1.001669021,1.237691949,0.0280501,0.515774303,2.750252888,0.1464072,0.004182038,0.015286891,0.061464449,11.40221091,1.68258794,1.227760645,1.135637084,0.008896938,0.008884678,0.002876602,2.519239221,0.06889985,0.355929347,0.81755023,0.593797344,2.434140583,0.000335279,0.341344681,0.005277021,1.706658332,0.319186342,0.763981675,1.239697066,0.150077611,3.19087925,0.342264475,0.003325204,0.543563687,0.151506108,0.085769692,0.000546903,0.040000472,0.017868009,0.009199221,0.003908023,0.019352225,0.0107693
Sample-39,C,0.002444507,0.011481993,0.005803607,0.028406653,0.004417887,4.94026552,0.005634725,0.009389723,0.086554219,0.142107924,0.047110503,0.01395438,0.004707193,0.006293001,0.021536546,0.018321648,1.167360471,1.672590957,1.962071423,1.755051536,3.374316421,1.590117996,0.627149094,0.66930879,0.343130437,0.010656152,0.00890404,0.736530167,0.047635043,0.009327894,0.639188183,0.020311948,0.201438651,0.297080637,0.152435174,0.094121663,0.263383602,0.00979499,0.139039004,0.962754049,0.45447299,0.020221787,0.589685732,0.073785159,0.929999411,0.006870993,2.312588676,0.041136195,0.557940385,0.008489439,0.043369398,0.477608441,1.474098172,0.045283248,0.016339895,0.04693267,0.143123146,0.206268606,0.018362736,0.110295904,0.021931338,0.65128577,0.036805311,0.115517925,5.965584938,0.019049743,0.008113952,0.010314522,0.006494802,0.013730467,0.023743359,0.349985697,0.590498696,0.002394806,0.103900409,0.274384855,0.622003964,0.375722985,0.003305586,1.600060526,1.133537056,0.002242187,0.00744426,1.376145375,0.009626772,0.003821292,0.021050726,0.211852677,0.402638425,0.035734998,0.215532051,3.799441393,0.065955845,0.006412323,0.024074732,0.0756606,18.83007017,3.800955288,2.779482044,2.144221251,0.012962954,0.013371826,0.007501441,0.379349623,0.135870431,0.199044837,0.249933459,0.163989163,0.843101358,0.001973708,0.147493366,0.007676136,8.510453115,1.168634695,4.351367832,0.658083864,0.079107479,2.158765128,0.225056035,0.005175733,0.112645224,0.125364329,0.063091305,0.000789921,4.876087258,0.021772579,0.025586261,0.002355682,0.015304558,0.01836025
Sample-40,C,0.001719429,0.005362042,0.004116682,0.034391755,0.015331387,1.234799534,0.003586685,0.013222024,0.415099248,0.503687924,0.25035389,0.014475748,0.004588513,0.004481474,0.008627549,0.013150276,0.296926613,0.385375624,0.508233761,0.614419088,0.919777945,0.381207044,0.261450188,0.241260292,0.170965339,0.007724035,0.00743131,1.921341392,0.102142791,0.154388359,1.791548801,0.013852711,0.07216705,0.147311199,1.143329064,1.039917274,0.177447998,0.005841807,0.698979923,2.082926149,1.579358617,0.014282157,2.301612293,0.038582492,3.172686855,0.00470196,0.385843655,0.022872047,1.996786258,0.006486971,0.014950685,0.176835896,8.068315065,0.031326218,0.024505612,0.018290125,0.052163141,0.233601416,0.012642463,0.596379497,0.022091135,4.719354548,0.250092382,1.285150446,8.551106191,0.013333245,0.005526233,0.004575117,0.003897232,0.009520473,0.021940858,1.8079835,4.31336745,0.001633299,0.094347094,0.058746728,0.07597347,0.013791619,0.002328023,0.013490287,0.137523404,0.001614841,0.003568378,0.044967176,0.006032585,0.004874979,0.014395568,4.615455987,2.407231374,0.134265445,0.835762586,1.384920618,0.073298063,0.004965719,0.016671999,0.022643616,8.797394319,1.000121746,0.426896885,0.782988657,0.012603246,0.0098013,0.004816117,3.400678583,1.213854963,0.568705288,1.345887866,0.932574272,5.799926149,0.001072504,1.670967125,0.005477691,1.063529455,0.061031419,0.159278757,3.579595597,0.24380542,0.694583601,0.035794305,0.006298727,1.905692465,0.374994176,0.167858553,0.000422909,0.042884468,0.017501097,0.069238021,0.0020785,0.189527475,0.010493338
Sample-41,C,0.00180165,0.004977956,0.004312063,0.02487048,0.005120911,1.094455452,0.003825335,0.012754159,0.345780161,0.264206783,0.191235563,0.009167416,0.004338818,0.00481898,0.01238338,0.019425134,0.303629073,0.382187189,0.386740426,0.532541241,0.881823383,0.343127853,0.344908447,0.180339536,0.873877156,0.008751403,0.00632817,1.608450538,0.077707063,0.007812831,0.912875844,0.014322834,0.207753037,0.275435033,2.693840116,1.000315536,0.103774739,0.007535305,0.460839374,3.358794341,1.104014664,0.014738494,1.958036583,0.030175819,2.481847876,0.00501417,0.762893601,0.036358584,1.108198485,0.006192722,0.01633254,0.271064222,6.760267976,0.033337616,0.014078184,0.018161149,0.036741715,0.254542047,0.013193842,0.592775117,0.029789142,5.202431656,0.136419023,1.271974163,16.61811228,0.013839441,0.005759802,0.004158432,0.002585258,0.009862947,0.011519373,1.390089079,4.374880658,0.003759145,0.17016388,0.189948255,1.536745428,0.015073771,0.00235937,0.018783603,0.119622994,0.001608694,0.003818282,0.037140072,0.006307487,0.004411682,0.015372425,6.108568905,1.902397013,0.046001825,0.582736707,1.033081024,0.145006237,0.004800336,0.01710953,0.021917708,9.400108905,0.971981357,0.362056823,0.653439006,0.011843488,0.01046287,0.003561045,3.263814373,0.295328758,0.541701831,1.133325219,0.610677201,4.215077051,0.000444296,0.709711303,0.005938226,0.751037581,0.042127342,0.095191913,2.063098013,0.17451381,0.493946209,0.038268615,0.004981832,0.081529284,0.291304712,0.049688717,0.000430968,0.015779402,0.018794815,0.100456437,0.004617973,0.021137044,0.010317838
Sample-42,C,0.002037142,0.003651517,0.004290597,0.020080717,0.00584927,1.646395216,0.004242224,0.010952121,0.254680543,0.29263625,0.106562488,0.009873115,0.003181517,0.005502235,0.007901972,0.012915407,2.065031985,0.938059028,1.252566194,1.439637095,1.549999864,0.849058334,1.133364633,0.489781063,0.478214648,0.008586818,0.007541019,1.444608717,0.024844699,0.006807637,1.31156883,0.017307507,0.097110229,0.208416028,1.513643388,0.520078604,0.188920745,0.010267944,0.379332874,2.268337459,0.885786085,0.018724338,1.574437557,0.029162986,1.762271511,0.005273719,0.154662123,0.039013241,1.496379179,0.007045665,0.016863241,0.141559692,3.926096965,0.024246209,0.011621943,0.021247776,0.035173718,0.126662936,0.015805758,0.309905093,0.019503797,3.654345471,0.338080424,0.504276363,18.90385628,0.015876973,0.007283578,0.002487125,0.002604125,0.01145284,0.010875184,0.779953356,3.557608171,0.002177703,0.130686403,0.056497641,0.155205,0.013013497,0.002538719,0.006953657,0.050066137,0.001766707,0.004505593,0.55777556,0.006865829,0.00350952,0.017963422,5.820071558,1.21608958,0.050131193,0.514814473,2.072800047,0.119643797,0.005191639,0.020171907,0.042832309,12.20422561,2.672990371,1.127402506,1.498435058,0.011700787,0.010618658,0.003784232,1.179124752,0.713141159,0.726350589,0.751298557,0.364226621,2.608716667,0.000277842,0.94566242,0.00587361,0.699675753,0.054929797,0.192408214,2.007124409,0.240363776,0.914863893,0.052286908,0.004468575,0.08512907,0.760364488,0.155855946,0.000314895,0.048793994,0.012637995,0.018717999,0.001940308,0.0411182,0.009923344
Sample-43,C,0.002075628,0.005150152,0.004874672,0.020738729,0.00403181,3.293158246,0.004561662,0.0108516,0.211725164,0.379135126,0.082440284,0.010134409,0.013058628,0.005780919,0.009568595,0.025003693,0.697453789,1.255139717,1.094835318,1.174684579,2.031671963,0.853092197,0.3722166,0.470661923,0.586967196,0.009560376,0.008116451,1.291839309,0.036259879,0.007599979,1.557982193,0.018095588,0.053820428,0.970358565,1.136699417,0.618685856,0.087732587,0.011377153,0.214165731,1.443595923,0.663254089,0.017968981,1.831680147,0.032538695,2.145016571,0.005850691,0.366000789,0.025455219,1.505163938,0.007609433,0.016810575,0.094944728,5.127904171,0.042452106,0.010871146,0.021192747,0.02738321,0.20929175,0.016223579,0.265920085,0.039101065,3.750235258,0.336812318,0.514897334,14.57983969,0.016672331,0.009726172,0.004180728,0.002867338,0.011939465,0.009807443,1.454732408,2.688069969,0.001443662,0.071528415,0.20411862,1.116127033,0.013113385,0.002905445,0.016325784,0.258216449,0.001988978,0.004667788,0.390261904,0.007547477,0.003694413,0.020080824,1.256095655,1.154065456,0.022585074,0.623558157,2.517333491,0.087454184,0.005574339,0.021728083,0.038471449,15.08415839,1.372137093,1.916646426,1.37753254,0.011786078,0.011071368,0.004033851,1.862885404,0.249835453,0.78694159,0.597121809,0.459710487,2.308996866,0.000380272,0.44890967,0.006737973,2.978378578,0.248323024,1.322346363,2.635278206,0.101789771,1.342094854,0.17134018,0.004550747,0.308561647,0.158417793,0.056001919,0.000472321,0.346754339,0.012292145,0.014279377,0.003054161,0.008311979,0.012665069
Sample-44,C,0.002608471,0.007464027,0.005915318,0.018150853,0.004907831,3.742235646,0.005544811,0.009877713,0.391297713,0.333314112,0.053803119,0.010862502,0.030340652,0.006702991,0.014339589,0.038459047,0.603556925,0.978708745,0.858372982,1.175285868,2.385987833,0.571259719,0.317910913,0.31149429,0.445116839,0.011731922,0.009604339,0.948398592,0.064621505,0.010609995,1.733533245,0.022065952,0.118632616,8.288097826,0.289234663,0.453685653,0.122554375,0.101137612,0.124772849,1.283189129,0.630573368,0.025168332,1.413734739,0.041321876,3.661953723,0.006950652,0.517825201,0.061202566,1.100825867,0.008900514,0.019928107,0.231015136,4.769820234,0.062154182,0.020927675,0.02892493,0.045822062,0.289220799,0.019624367,0.216193144,0.054723234,3.443939036,0.293987221,0.906494979,2.955254372,0.020157551,0.016041926,0.007243695,0.003951788,0.014940811,0.015031209,2.603215534,3.16255443,0.002490029,0.05625918,0.409416411,2.334281155,0.015258505,0.003557908,0.013775417,0.289447341,0.002336216,0.006188375,1.952941778,0.009531556,0.004208728,0.0243348,0.250222481,1.170216227,0.021864265,0.786728831,2.45267557,0.072123682,0.006867241,0.026546241,0.096157603,20.17827954,1.254567321,1.523663115,1.186548932,0.013917662,0.014272436,0.005186561,3.394893945,0.255182417,0.529726461,0.480581932,0.406018946,1.975734241,0.000619228,0.164133723,0.009153299,1.67038173,0.238617595,0.876921065,0.796668733,0.202518286,1.414127279,0.224821577,0.005425312,0.247525982,0.12325208,0.084568127,0.000591702,0.084779324,0.017577942,0.012510004,0.001800978,0.008763798,0.014227141
Sample-45,C,0.001918751,0.003576408,0.004117588,0.018238313,0.003616925,0.100732666,0.004107876,0.023368811,1.485123707,0.376136773,0.051807727,0.019720538,0.00254736,0.004834001,0.006632861,0.009680983,0.060392837,0.070013187,0.08612612,0.060780284,0.09909163,0.045038253,0.01774135,0.29777094,4.433299256,0.008433324,0.007185621,2.005229996,0.016627184,0.003834104,5.619597195,0.016441485,0.004367219,1.113288348,0.089387746,0.165580983,0.216513204,0.025640362,0.291835921,5.634723968,2.762596797,0.04830363,2.070110536,0.022327286,12.31715299,0.004816592,0.032531169,0.09017996,2.002839076,0.006499007,0.014539485,0.009687517,7.577784691,0.045064613,0.014108207,0.021706409,0.036074499,0.022035851,0.017278074,0.860948028,0.017441499,4.057833562,0.022156678,2.381678817,0.685009745,0.019197774,0.006619368,0.003730762,0.003513679,0.011020858,0.013216896,6.805191006,3.758153739,0.000825465,0.033133736,0.043162041,0.009909905,0.010779826,0.002313099,0.007476257,0.017961075,0.001701491,0.004228202,0.007692761,0.006448105,0.002802408,0.017319176,0.229165007,2.308865978,0.018271672,1.808923542,0.101166501,0.215390725,0.004997423,0.01885327,0.023892382,0.35664813,0.204039767,0.033828483,0.119755333,0.011573944,0.010576047,0.004533417,10.73072232,0.011249028,1.668300789,4.16813379,1.705275047,5.74007504,0.000757576,0.253323866,0.005593353,0.333647382,0.105707664,0.316745426,0.095414495,0.088669109,0.085074643,0.003118144,0.003993694,0.077555605,0.282717848,0.051604967,0.000265069,0.333953811,0.009834925,0.007897102,0.001195045,0.006685476,0.009803012
Sample-46,C,0.001867175,0.004428874,0.015681559,0.02296182,0.003573044,3.889684625,0.003983063,0.012737445,0.698104795,0.116086097,0.045375243,0.011259028,0.003420488,0.004825637,0.008516075,0.019083604,1.447436703,0.861310363,2.652277781,4.534799867,2.783258182,3.241528968,1.30818953,1.185529246,9.118100543,0.00849701,0.007119791,2.825136071,0.079093533,0.009265349,2.697249484,0.016636404,0.023607985,0.093756311,0.581189126,0.111244207,0.1319526,0.004913689,0.253235081,1.079767954,0.473348868,0.102203237,2.021714839,2.929177849,2.459472174,0.004915876,0.272212158,0.496727153,0.93872613,0.006771219,0.014254012,0.015372754,3.780725568,0.029907871,0.027906858,0.174633827,0.054498899,0.293490018,0.01467803,0.184528415,0.029107711,1.4383265,0.023517369,0.476213797,4.538983079,0.014135107,0.006350884,0.005036454,0.007126647,0.010757818,0.057464346,1.359629517,1.692885552,0.000816274,0.095742846,0.084625608,0.363087568,0.017836878,0.002820621,2.670270092,0.018425855,0.001769015,0.005180228,0.007551135,0.00646811,0.002676695,0.030889443,0.622768479,2.391052721,0.079444305,0.753304519,3.8485449,0.063670427,0.005192031,0.018480452,0.121490035,0.1378545,1.470438635,1.509816951,2.117364027,0.013005083,0.010693111,0.007965988,1.823019765,3.096012089,0.143742254,1.699107066,1.32584176,5.183800253,0.002667806,0.390001652,0.005745176,0.538255277,0.072756557,0.167375104,3.086023391,0.065182326,1.262385385,0.272405082,0.005194083,0.134874499,0.105167884,0.101515823,0.000286272,0.014241497,0.015025292,0.095619356,0.002487639,0.007331976,0.033203318
Sample-47,C,0.001428033,0.002766644,0.012623712,0.024522045,0.002733935,2.48738798,0.003251696,0.013539067,0.826121616,1.292801698,0.090048702,0.013810956,0.002205749,0.003640634,0.017241401,0.009682983,0.681917875,0.440415462,1.171005821,1.78871266,0.760797554,1.632557599,1.275946385,1.013407294,6.948428465,0.007376674,0.005198273,3.03284512,0.111140263,0.008582349,2.776485928,0.012729892,0.013494007,0.074085712,1.348221366,0.456654401,0.125161562,0.003902316,0.155424123,1.520889042,1.61167563,0.0565693,1.928747893,2.735039793,3.99512653,0.003639641,1.171966379,0.267115122,1.672440275,0.005207284,0.010872908,0.023958467,5.65869098,0.037619597,0.015161275,0.01519936,0.05739897,0.448239098,0.010917911,0.307591707,0.018537423,1.632787489,1.692749733,0.76103981,5.807416662,0.011027043,0.005112862,0.002800001,0.0028949,0.009095726,0.015872198,1.716963337,2.743408161,0.00054584,0.095831101,0.043354762,0.043952806,0.008964177,0.002052112,0.110646418,0.016930994,0.001340989,0.003298114,0.006870078,0.004935356,0.002210672,0.024308767,0.280570856,2.677523377,0.090002953,1.258050215,1.362348635,0.043192927,0.003889736,0.014362167,0.516358588,0.05507346,0.551698419,0.487211635,1.113604197,0.012941732,0.007825496,0.003711176,2.186259615,1.316567832,1.653363414,3.269627012,1.330705512,11.29091703,0.000750662,0.118100336,0.004710734,0.650237844,0.070946347,0.211334717,3.394373903,0.237428216,0.472255956,0.015812726,0.003975742,0.060981287,0.104710841,0.047924684,0.000228277,0.00523178,0.023335231,0.008420908,0.002699432,0.044235014,0.009186735
Sample-48,C,0.001419172,0.003081158,0.009944287,0.02325435,0.002818665,1.63852005,0.003088663,0.008755907,0.710219428,0.456773638,0.044373409,0.016755085,0.002471176,0.003761487,0.008278681,0.00786529,0.468174107,0.333679943,0.763640091,1.696151368,0.702130624,1.099277408,0.817053832,0.699026809,1.439636763,0.006573689,0.005406137,2.79564143,0.049825699,0.00434107,3.569905623,0.012196447,0.008306353,0.06421762,0.699045961,0.346027914,0.137441414,0.003174846,0.131823178,3.458210694,1.490856585,0.048770011,1.882012173,1.830097974,5.647803793,0.003738435,0.503266257,0.189606052,2.160827217,0.005208766,0.011468594,0.014596319,5.833774307,0.020033721,0.009369161,0.014184309,0.018322826,0.180602739,0.011244447,0.276177679,0.014017761,3.780689173,0.435924113,1.588705732,13.20067367,0.011736459,0.004785237,0.002631048,0.001822798,0.008389603,0.007848803,3.777808489,3.118983217,0.000607095,0.082356717,0.035110917,0.00636264,0.008582826,0.001983899,1.795916297,0.016710263,0.001265782,0.003271144,0.006371094,0.004974025,0.002330976,0.013435879,0.140866234,2.685978269,0.031140461,1.698069396,1.183083668,0.046680167,0.004016313,0.014394023,0.231990181,0.047259304,0.511551466,0.397525884,1.023992207,0.010884389,0.007752916,0.00262561,8.071386672,0.374561273,0.611875716,1.671010567,2.103227382,5.487371096,0.000199338,0.136370068,0.004724764,0.282019441,0.055862571,0.106701929,1.57766888,0.108747744,0.525161346,0.026708651,0.003467638,0.260423276,0.083030115,0.080742069,0.000221911,0.006231539,0.010194312,0.008111951,0.002405503,0.018367339,0.007849939
Sample-49,C,0.002852286,0.005091493,0.006241155,0.033039804,0.005106021,4.530945962,0.005804981,0.010741028,0.099119857,0.089697052,0.053929835,0.017170003,0.004279697,0.007078042,0.011105563,0.018326462,1.714671336,1.693857361,2.881347457,1.993644979,3.843848448,2.277616914,0.712748586,1.367702589,0.088470853,0.0121474,0.033303426,0.639926803,0.048749237,0.009110702,0.917112192,0.022688424,0.033963893,3.239688294,0.107921323,0.45601008,0.201905174,0.011939524,0.080953632,0.352539112,0.602280751,0.022399991,0.89195872,0.030902409,0.800598058,0.007081205,0.282131959,0.027682942,0.646146568,0.010054032,0.022012213,0.052963644,1.747307283,0.035695658,0.010728774,0.026350061,0.033580232,0.104995453,0.020926261,0.122105956,0.037807364,1.833582521,0.031677598,0.105209674,2.547627804,0.020772887,0.009749937,0.003591665,0.003640284,0.01531275,0.010908119,0.370261793,1.012304159,0.001325144,0.059887201,0.092487592,0.190059692,0.072897371,0.003613076,5.217705178,0.029141407,0.002745302,0.006155759,0.011422646,0.009351285,0.004670261,0.023727605,0.228359366,0.354460529,0.028019813,0.343816261,4.221008451,0.045123163,0.00716092,0.028371065,0.128649271,18.89959643,7.461519613,4.005879356,2.866424928,0.014790941,0.014100006,0.005057209,0.562746492,0.015426057,0.086428962,0.188540125,0.287296135,0.629433574,0.000443053,0.112305761,0.008618716,8.970801307,0.388777744,1.133333969,0.444806554,0.082435226,2.521380913,0.204463139,0.006084908,0.109146025,0.11875904,0.070679094,0.000416421,0.475615463,0.016418509,0.019844624,0.001863759,0.008802668,0.014859215
Sample-50,C,0.001799305,0.004563217,0.005598042,0.021589373,0.00353749,3.619134994,0.004035064,0.013088801,0.199174559,0.306629572,0.350719713,0.012626303,0.003201128,0.005144601,0.008052394,0.021887608,1.010199239,0.583993527,0.794590571,1.780538545,2.085972816,0.407223709,0.647503411,2.001876957,0.817985114,0.008389065,0.007119924,1.002504939,0.020743363,0.008085308,1.094266882,0.015868377,0.040893433,0.123347071,3.031828863,0.658614963,0.166437684,0.006952663,0.690941905,1.131233685,0.993323651,0.015608803,1.576000957,0.388569502,2.173965637,0.004754974,0.270249501,0.017993669,2.843265454,0.006528257,0.014462409,0.630443424,3.438215518,0.020101931,0.011034357,0.043703531,0.050113627,0.046540527,0.015000065,0.195785879,0.033695113,3.630993452,0.22274296,0.91138186,18.29261286,0.015008141,0.006271165,0.003738881,0.003793269,0.010834075,0.014519911,1.528110289,3.468551882,0.001061638,0.108772291,0.183368748,1.117670554,0.032906013,0.002959237,0.829679756,0.019397677,0.001673885,0.004228065,0.007868106,0.006380435,0.003318382,0.016406741,4.080129461,0.847102504,0.028916296,0.740012269,1.882074534,0.052152201,0.005115493,0.019607959,0.509637876,9.376994955,0.509962335,0.28641796,1.401653503,0.015106622,0.009882385,0.004730239,4.548837852,0.15230281,0.605190329,0.388554281,0.347982379,2.014167536,0.000927292,1.55689958,0.005927538,0.48149564,0.055842337,0.137095125,1.889349492,0.091676389,0.869965964,0.271087124,0.004202835,0.07579921,0.32334259,0.263476306,0.001876505,0.072148904,0.012028389,0.084538318,0.005769749,0.007249606,0.011268091
Sample-51,C,0.003299991,0.007494985,0.007240893,0.023765955,0.006157526,4.516948609,0.007063086,0.01580693,0.239258791,0.115743929,0.075927589,0.012630935,0.00797094,0.008219772,0.014231566,0.026471618,0.31941454,0.065167603,0.215319695,1.574938261,2.866269141,0.304599968,0.14071757,0.145700873,0.390074019,0.013645005,0.012232932,0.854684494,0.037785544,0.008493461,0.797577165,0.027008662,0.041425982,0.485840087,0.188036237,1.110241593,0.190638897,0.029832723,0.11042414,1.287555223,0.437468901,0.025417015,2.792317604,0.062218694,1.644758675,0.008001122,0.581245335,0.029947316,0.559754026,0.011033992,0.024044886,0.036980304,2.191914569,0.032988253,0.01452842,0.029778594,0.045844314,0.097151337,0.023886391,0.216945394,0.0409218,5.090677996,0.04583114,0.586830383,31.23847383,0.024178247,0.010764514,0.00570544,0.0044768,0.017824848,0.014094783,1.073816763,3.922455752,0.001673418,0.156094477,0.190373046,1.027816076,0.018580423,0.00400153,1.404815502,0.025406968,0.003001865,0.006792763,0.012898828,0.010527718,0.004978066,0.027672205,0.396430165,1.164391423,0.024986366,0.423797525,1.268982129,0.11893387,0.008784558,0.030919994,0.069612405,14.67891252,0.620995532,0.149566809,0.435464623,0.016738475,0.01663349,0.006360081,2.288500504,0.030573731,0.383618927,0.495973517,0.306806735,1.480217695,0.000648672,0.184983064,0.009924233,0.403159738,0.059451936,0.144791397,1.695324961,0.279628675,1.679011827,0.454665213,0.006697483,0.126045436,0.140160653,0.086956549,0.00044737,0.057103148,0.017772046,0.062100596,0.004269061,0.011234701,0.015654918
