,Prevotella_tannerae_et_rel
S3,5.151162334
S3,4.805830663
S3,5.257236913
S3,4.78675372
S3,4.271951777
S3,4.568338515
S3,4.977195447
S3,4.932845305
S3,5.149365993
S3,4.640353458
S3,4.551577938
S3,5.137248932
S3,4.963861593
S3,4.918455047
S3,3.605650614
S3,4.772109312
S3,4.42582703
S3,5.395203426
S3,3.822291427
S3,4.002866272
S3,3.676907921
S3,4.66282889
S3,5.679189765
S3,4.619650415
S3,4.439676062
S3,4.770288435
S3,4.945057069
S3,5.165788306
S3,4.675819508
S3,4.483877523
S3,5.387353367
S3,5.283975861
S3,4.028967263
S3,5.01355465
S3,4.875786793
S3,5.008661893
S3,4.186116013
S3,4.014117204
S3,4.086108626
S3,3.77074409
S3,2.879418243
S3,5.468987321
S3,4.309360207
S3,4.147665112
S3,4.392659673
S3,4.500083017
S3,5.383037357
S3,5.047819781
S3,4.356968188
S3,5.402657061
S3,3.631407009
S3,4.896458247
S3,4.505171005
S3,4.249437154
S3,4.431823351
S3,4.571729958
S3,3.876746164
S3,4.46725121
S3,4.918222215
S3,4.789059723
S3,4.161947749
S3,4.332108787
S3,4.775129355
S3,4.593873899
S3,4.542104452
S3,4.189133096
S3,3.109390359
